source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B2,1,B4,physics,RandomForest,40,20,5.8220861810866396,5.04,0.9589131060606061,False
B2,1,B5,physics,RandomForest,40,20,5.068000098658247,4.0225,0.9688671212121212,False
B3,1,B1,physics,RandomForest,40,40,12.264504805535362,8.894375,0.8176750568181819,False
B3,1,B2,physics,RandomForest,40,40,7.762180951575401,6.038124999999999,0.9269679356060606,False
B3,1,B4,physics,RandomForest,40,20,4.046920125231039,3.245000000000001,0.9801484090909091,False
B3,1,B5,physics,RandomForest,40,20,4.202220395219652,2.9787500000000016,0.9785955681818181,False
B4,1,B1,physics,RandomForest,20,40,17.059493324832363,12.94875,0.6472408333333333,False
B4,1,B2,physics,RandomForest,20,40,11.204103600913372,8.36375,0.8478400757575758,False
B4,1,B3,physics,RandomForest,20,40,8.915444815038676,7.308750000000001,0.9036543560606061,False
B4,1,B5,physics,RandomForest,20,20,9.522624375664515,7.402499999999999,0.890084393939394,False
B5,1,B1,physics,RandomForest,20,40,12.973677678283826,9.5875,0.7959802272727273,True
B5,1,B2,physics,RandomForest,20,40,7.17576433211125,5.845000000000001,0.937585946969697,True
B5,1,B3,physics,RandomForest,20,40,6.514682935492716,5.191249999999999,0.94855625,True
B5,1,B4,physics,RandomForest,20,20,5.113346506936528,3.9349999999999996,0.9683075,True
B1,1,B2,physics,XGBoost,40,40,8.206959074910436,6.226312756538391,0.9183585730215094,False
B1,1,B3,physics,XGBoost,40,40,8.351515072961883,6.482645654678345,0.9154572072558672,False
B1,1,B4,physics,XGBoost,40,20,6.334062547259945,4.357734632492066,0.9513692747241198,False
B1,1,B5,physics,XGBoost,40,20,10.1779534423791,7.585531854629517,0.8744354711815314,False
B2,1,B1,physics,XGBoost,40,40,9.704781088817027,7.672833585739136,0.8858390594159266,False
B2,1,B3,physics,XGBoost,40,40,6.691107313804964,5.1437659740448,0.9457322217153281,False
B2,1,B4,physics,XGBoost,40,20,7.787581374721209,6.20720329284668,0.9264891834328428,False
B2,1,B5,physics,XGBoost,40,20,4.874445600064501,3.423608493804932,0.9711997334448628,False
B3,1,B1,physics,XGBoost,40,40,14.521983704097591,12.174821710586547,0.7443781688459685,False
B3,1,B2,physics,XGBoost,40,40,12.044486793806882,10.531396317481995,0.8241579853015899,False
B3,1,B4,physics,XGBoost,40,20,14.533674018117312,12.826010417938232,0.7439664479213355,False
B3,1,B5,physics,XGBoost,40,20,9.031178600886948,8.380562591552735,0.9011367431259172,False
B4,1,B1,physics,XGBoost,20,40,9.98150098608702,8.396961331367493,0.8792359249269622,False
B4,1,B2,physics,XGBoost,20,40,8.142381333822277,6.5894159317016605,0.9196383348056031,False
B4,1,B3,physics,XGBoost,20,40,17.114727145825984,14.043166518211365,0.644952866332033,False
B4,1,B5,physics,XGBoost,20,20,5.738291714532355,4.582948684692383,0.9600872826653689,False
B5,1,B1,physics,XGBoost,20,40,12.801053104156694,9.97782106399536,0.8013733811206791,True
B5,1,B2,physics,XGBoost,20,40,8.105635924069558,6.20645763874054,0.9203620197168886,True
B5,1,B3,physics,XGBoost,20,40,19.758174644388692,15.365363669395446,0.5268054966325282,True
B5,1,B4,physics,XGBoost,20,20,10.999674051106558,8.793431329727174,0.8533420251750461,True
B1,1,B2,combined,LinearRegression,40,40,195.9336503547243,194.95447056176928,-45.533327686457405,False
B1,1,B3,combined,LinearRegression,40,40,147.9929705045745,128.94194950653053,-25.54778099244589,False
B1,1,B4,combined,LinearRegression,40,20,258.9315463221249,256.33600445704906,-80.26732809789904,False
B1,1,B5,combined,LinearRegression,40,20,648.1814005675842,286.3254524997634,-508.25954914152135,False
B2,1,B1,combined,LinearRegression,40,40,76.57182022350993,64.7313440049139,-6.106962002838211,False
B2,1,B3,combined,LinearRegression,40,40,158.7668265747594,130.14869160813097,-29.553824509842087,False
B2,1,B4,combined,LinearRegression,40,20,92.49780376841656,89.44064551300661,-9.370719638764239,False
B2,1,B5,combined,LinearRegression,40,20,281.37232711689757,246.0330669888137,-94.96410480870111,False
B3,1,B1,combined,LinearRegression,40,40,142.8376313023259,141.83047730733114,-23.73041080734447,False
B3,1,B2,combined,LinearRegression,40,40,32.13114319831524,26.924660870565134,-0.2514065008856241,False
B3,1,B4,combined,LinearRegression,40,20,120.88642090121476,120.3168936726405,-16.713365767643214,False
B3,1,B5,combined,LinearRegression,40,20,126.4318454581893,110.58988514423308,-18.375771570864803,False
B4,1,B1,combined,LinearRegression,20,40,218.73075897117454,212.93875105070165,-56.99169081224975,False
B4,1,B2,combined,LinearRegression,20,40,56.53352244796171,48.46970938935295,-2.8739868610596244,False
B4,1,B3,combined,LinearRegression,20,40,292.2375383795496,257.2593028575784,-102.51851980380454,False
B4,1,B5,combined,LinearRegression,20,20,651.7112382515805,641.0245513337069,-513.8212582586767,False
B5,1,B1,combined,LinearRegression,20,40,37.975229914633374,36.36003510320841,-0.7480219237203218,True
B5,1,B2,combined,LinearRegression,20,40,47.14409580512232,46.1526040822702,-1.6940191142818808,True
B5,1,B3,combined,LinearRegression,20,40,23.566526955637464,20.560859351045604,0.3268106754535913,True
B5,1,B4,combined,LinearRegression,20,20,7.229788289097565,5.5859781482850694,0.9366426197513064,True
B1,1,B2,combined,RandomForest,40,40,10.785645118628741,7.668125000000001,0.8589937689393939,False
B1,1,B3,combined,RandomForest,40,40,9.570225637360908,7.308750000000001,0.8889827651515152,False
B1,1,B4,combined,RandomForest,40,20,7.365994501762813,6.12,0.9342328787878788,False
B1,1,B5,combined,RandomForest,40,20,14.281075764801475,10.809999999999999,0.7527889393939393,False
B2,1,B1,combined,RandomForest,40,40,7.985786201120088,6.703749999999999,0.9226996590909091,False
B2,1,B3,combined,RandomForest,40,40,6.944757465167521,6.296250000000001,0.9415398106060606,False
B2,1,B4,combined,RandomForest,40,20,4.976868367758985,4.398749999999999,0.9699767045454546,False
B2,1,B5,combined,RandomForest,40,20,4.751881206427619,3.9075,0.9726298484848485,False
B3,1,B1,combined,RandomForest,40,40,10.80258866545422,7.785624999999999,0.8585503977272728,False
B3,1,B2,combined,RandomForest,40,40,7.280971561199784,5.591875,0.9357423674242424,False
