source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,n_source_samples,n_target_samples,centroid_dist,cov_fro_dist,cov_fro_dist_norm,pca_centroid_dist,pca_cov_fro_dist,pca_explained_var
B1+B2+B4+B5,4,B3,physics,RandomForest,120,40,5.633028992025516,4.550625000000001,0.9615381628787879,True,120,40,4.089344277969814,22.66803400879782,0.37787392357785127,3.4949792137822313,20.17697730047502,0.8199039451843625
B1+B2,2,B4,physics,RandomForest,80,20,8.728358952288799,7.5525,0.9076554545454545,False,80,20,6.499957077677402,19.700204474932427,0.3099370668106356,6.494415823430302,16.435011726125484,0.8384805213145751
B1+B3,2,B4,physics,RandomForest,80,20,4.178090173751638,3.6349999999999993,0.9788406818181818,False,80,20,5.800521015903657,19.422496759271958,0.32543554336940095,5.019411568265578,15.972841777597253,0.8138523335544585
B1+B5,2,B4,physics,RandomForest,60,20,7.3470189532898305,6.397499999999999,0.9345712878787878,True,60,20,5.109821744596102,29.45523038299219,0.4885850192352294,5.032538059267121,28.322132560987576,0.8892164068312763
B2+B3,2,B4,physics,RandomForest,80,20,5.601191279540452,4.34375,0.9619717045454546,False,80,20,5.916103082244699,18.759773178418236,0.305498002312139,5.699210573739045,15.683141238528984,0.8027184206749166
B2+B5,2,B4,physics,RandomForest,60,20,4.740480592724749,3.786249999999999,0.9727610227272727,True,60,20,5.150940306275573,26.94960573096471,0.44289395574259804,3.523983903973899,25.610465391624956,0.8575884630635968
B3+B5,2,B4,physics,RandomForest,60,20,3.5736492203348655,3.0262499999999988,0.9845200378787878,True,60,20,4.996039428526798,27.1949463541251,0.45397457616679726,4.735397832519028,26.03413908253709,0.8656373663760102
B1+B2+B3,3,B4,physics,RandomForest,120,20,4.927559614048317,4.05375,0.9705686742424242,False,120,20,5.892306642749643,17.794230526953317,0.3033371614525137,4.122023949020116,14.920495325183289,0.7899391289264682
B1+B2+B5,3,B4,physics,RandomForest,100,20,6.676446472488192,5.6625000000000005,0.9459697727272727,True,100,20,5.043471773800809,24.73035337003351,0.42538332148489705,4.679202426139124,23.40359649707899,0.8482533354094709
B1+B3+B5,3,B4,physics,RandomForest,100,20,4.124026400254973,3.6012500000000003,0.9793847348484849,True,100,20,4.708160745419055,24.57624505069104,0.4337437979991872,1.7632974515159465,23.342741487716467,0.8397453664093129
B2+B3+B5,3,B4,physics,RandomForest,100,20,5.301859933080089,3.86625,0.9659276136363636,True,100,20,4.999664761473448,23.199054509911488,0.40331836290757733,3.458086195876133,21.97297123100127,0.8297305815841569
B1+B2+B3+B5,4,B4,physics,RandomForest,140,20,4.847202801616618,4.092499999999999,0.9715207575757576,True,140,20,4.939436872512893,22.34853788845671,0.3990769812700052,1.8644950669870488,21.028302099713976,0.8199039451843625
B1+B2,2,B5,physics,RandomForest,80,20,5.039943576073049,4.49125,0.9692108712121212,False,80,20,6.828666254264809,83.70957661652768,0.7284703476221078,6.756296829064913,80.06895776000135,0.8736425192035118
B1+B3,2,B5,physics,RandomForest,80,20,3.303851918594414,2.429999999999999,0.9867691666666667,False,80,20,6.483157498647823,82.40963754033784,0.7268209478551095,6.09131502273872,78.30387163049484,0.8700228007453827
B1+B4,2,B5,physics,RandomForest,60,20,5.879245806223788,5.128750000000001,0.9581023863636363,False,60,20,7.126414877849679,70.72622874173199,0.7013673786729753,7.061453325180542,67.49714256296649,0.8892164068312763
B2+B3,2,B5,physics,RandomForest,80,20,3.3356361836986954,2.2112500000000006,0.9865133712121212,False,80,20,6.027448972294717,83.25975414449897,0.7220188349082103,5.728714481431305,78.82834414573873,0.8650814023178256
B2+B4,2,B5,physics,RandomForest,60,20,4.02181551043804,3.3649999999999993,0.9803939393939394,False,60,20,6.1384104350280575,71.99505370090145,0.7001681794483664,6.068975925512015,68.4115952226995,0.8575884630635968
B3+B4,2,B5,physics,RandomForest,60,20,3.349057703295063,2.6474999999999995,0.9864046212121212,False,60,20,6.156235739386681,70.20420188479767,0.6955808146191322,5.8608242458649515,66.35272131991806,0.8656373663760102
B1+B2+B3,3,B5,physics,RandomForest,120,20,3.1689755836863123,2.38375,0.9878273863636363,False,120,20,6.698527024234611,107.94822352271773,0.7773310546926135,5.920321487093039,102.25930767509475,0.8418123576946493
B1+B2+B4,3,B5,physics,RandomForest,100,20,3.894792195997112,3.076250000000001,0.981612840909091,False,100,20,6.965550358382798,96.99200827362621,0.7608034507000785,6.39402474223754,91.99164505991276,0.8482533354094709
B1+B3+B4,3,B5,physics,RandomForest,100,20,3.224951550023659,2.2649999999999997,0.9873935606060606,False,100,20,6.745623128353683,95.945666091707,0.7610728377164536,6.2545402831824894,91.12726615956764,0.8397453664093129
B2+B3+B4,3,B5,physics,RandomForest,100,20,4.338137561212185,3.275,0.9771885606060606,False,100,20,6.40838377389533,96.80663848011046,0.7608552983466813,6.147817045135002,92.12683001398956,0.8297305815841569
B1+B2+B3+B4,4,B5,physics,RandomForest,140,20,3.5204314366281877,2.372500000000001,0.9849776515151515,False,140,20,6.961490022651061,120.76158405602092,0.8003721703393796,6.095196634039864,114.69936913333767,0.8199039451843625
