target_board,source_boards,source_count,y_true,mean_signed_error,median_signed_error,mae,pred_mean,n
B2,B3+B4,2,70.0,-5.087500000000002,-5.575000000000003,5.400000000000002,64.9125,4
B2,B3+B4,2,80.0,-6.0625000000000036,-4.287500000000001,6.0625000000000036,73.9375,4
B2,B3+B4,2,90.0,-11.918750000000003,-11.875,11.918750000000003,78.08125,4
B2,B3+B4,2,100.0,-11.2,-12.0,11.2,88.8,4
B2,B3+B4+B5,3,10.0,1.2624999999999997,0.875,1.2624999999999997,11.2625,4
B2,B3+B4+B5,3,20.0,0.8937500000000003,-0.037499999999999645,4.18125,20.89375,4
B2,B3+B4+B5,3,30.0,-0.11249999999999982,0.025000000000000355,3.2375,29.8875,4
B2,B3+B4+B5,3,40.0,-2.7124999999999986,-3.037499999999998,2.7124999999999986,37.2875,4
B2,B3+B4+B5,3,50.0,-0.7874999999999996,-0.9874999999999972,2.5374999999999996,49.2125,4
B2,B3+B4+B5,3,60.0,-6.299999999999999,-6.324999999999999,6.299999999999999,53.7,4
B2,B3+B4+B5,3,70.0,-7.775,-7.512499999999999,7.775,62.225,4
B2,B3+B4+B5,3,80.0,-10.875000000000002,-9.787500000000001,10.875000000000002,69.125,4
B2,B3+B4+B5,3,90.0,-17.318749999999998,-17.287499999999994,17.318749999999998,72.68125,4
B2,B3+B4+B5,3,100.0,-15.1875,-17.6875,15.1875,84.8125,4
B2,B3+B5,2,10.0,1.1687500000000006,0.9250000000000007,1.1687500000000006,11.168750000000001,4
B2,B3+B5,2,20.0,0.23749999999999982,-0.3125,4.000000000000001,20.2375,4
B2,B3+B5,2,30.0,-1.21875,-1.375,3.3937500000000007,28.78125,4
B2,B3+B5,2,40.0,-3.643749999999999,-4.699999999999999,3.8187499999999996,36.35625,4
B2,B3+B5,2,50.0,-2.481250000000001,-2.7250000000000014,2.5687499999999996,47.51875,4
B2,B3+B5,2,60.0,-6.56875,-7.0625,6.56875,53.43125,4
B2,B3+B5,2,70.0,-7.3937500000000025,-7.212500000000002,7.3937500000000025,62.606249999999996,4
B2,B3+B5,2,80.0,-10.137500000000003,-10.200000000000003,10.137500000000003,69.8625,4
B2,B3+B5,2,90.0,-15.618749999999999,-15.512499999999996,15.618749999999999,74.38125,4
B2,B3+B5,2,100.0,-16.1125,-16.9625,16.1125,83.8875,4
B2,B4,1,10.0,5.7,5.75,5.7,15.7,4
B2,B4,1,20.0,2.5374999999999988,2.0249999999999986,2.7124999999999995,22.537499999999998,4
B2,B4,1,30.0,1.4187499999999993,0.5374999999999996,3.768749999999999,31.41875,4
B2,B4,1,40.0,0.09375,-0.5249999999999986,3.2312499999999993,40.09375,4
B2,B4,1,50.0,0.08749999999999858,1.6624999999999979,4.462499999999999,50.0875,4
B2,B4,1,60.0,-3.7187500000000018,-3.950000000000003,4.593750000000002,56.28125,4
B2,B4,1,70.0,-6.674999999999999,-6.087499999999999,6.674999999999999,63.325,4
B2,B4,1,80.0,-12.96875,-11.737499999999997,12.96875,67.03125,4
B2,B4,1,90.0,-17.881249999999998,-18.487499999999997,17.881249999999998,72.11875,4
B2,B4,1,100.0,-21.643749999999997,-19.099999999999994,21.643749999999997,78.35625,4
B2,B4+B5,2,10.0,2.29375,1.9000000000000004,2.29375,12.29375,4
B2,B4+B5,2,20.0,0.16249999999999964,-0.9625000000000004,3.1750000000000007,20.1625,4
B2,B4+B5,2,30.0,-0.7625000000000011,-1.0875000000000004,2.9749999999999996,29.237499999999997,4
B2,B4+B5,2,40.0,-3.51875,-3.9624999999999986,4.843749999999999,36.48125,4
B2,B4+B5,2,50.0,-0.34375,1.0124999999999993,3.7687500000000007,49.65625,4
B2,B4+B5,2,60.0,-2.5500000000000007,-2.875,4.375,57.45,4
B2,B4+B5,2,70.0,1.5999999999999979,2.3374999999999986,4.5000000000000036,71.6,4
B2,B4+B5,2,80.0,-0.8312499999999972,-0.29999999999999716,2.84375,79.16875,4
B2,B4+B5,2,90.0,-7.362500000000001,-7.237499999999997,7.362500000000001,82.6375,4
B2,B4+B5,2,100.0,-10.906250000000004,-12.450000000000003,10.906250000000004,89.09375,4
B2,B5,1,10.0,6.8999999999999995,6.512499999999999,6.8999999999999995,16.9,4
B2,B5,1,20.0,1.9312500000000004,0.6500000000000004,2.1187500000000004,21.93125,4
B2,B5,1,30.0,-1.0062500000000005,-1.6500000000000004,2.5687500000000005,28.99375,4
B2,B5,1,40.0,-4.174999999999999,-5.899999999999999,5.4,35.825,4
B2,B5,1,50.0,-2.7937499999999993,-1.4375,4.631250000000001,47.20625,4
B2,B5,1,60.0,-4.30625,-4.425000000000001,5.606250000000001,55.69375,4
B2,B5,1,70.0,-3.3812499999999996,-3.087500000000002,4.7062500000000025,66.61875,4
B2,B5,1,80.0,-3.3312500000000043,-2.9875000000000043,4.693750000000001,76.66874999999999,4
B2,B5,1,90.0,-8.675,-9.524999999999999,8.675,81.325,4
B2,B5,1,100.0,-13.149999999999999,-12.600000000000001,13.149999999999999,86.85,4
B5,B1,1,10.0,6.425000000000001,6.425000000000001,6.425000000000001,16.425,2
B5,B1,1,20.0,8.375,8.375,8.375,28.375,2
B5,B1,1,30.0,7.112500000000001,7.112500000000001,7.112500000000001,37.1125,2
B5,B1,1,40.0,6.4375,6.4375,6.4375,46.4375,2
B5,B1,1,50.0,9.05,9.05,9.05,59.05,2
B5,B1,1,60.0,6.637499999999996,6.637499999999996,6.637499999999996,66.63749999999999,2
