target_board,source_boards,source_count,regime,mae,bias,pred_mean,n
B5,B1+B4,2,high_>=80,6.720833333333334,-6.312500000000003,83.6875,6
B5,B1+B4,2,low_<=30,3.6999999999999993,3.6999999999999993,23.7,6
B5,B1+B4,2,mid_40_70,5.006250000000001,5.006250000000001,60.00625,8
B5,B2,1,high_>=80,3.849999999999999,0.125,90.125,6
B5,B2,1,low_<=30,3.4874999999999994,3.054166666666666,23.054166666666664,6
B5,B2,1,mid_40_70,4.5531250000000005,4.5531250000000005,59.553125,8
B5,B2+B3,2,high_>=80,5.054166666666667,-4.837499999999999,85.16250000000001,6
B5,B2+B3,2,low_<=30,1.0666666666666667,0.641666666666666,20.641666666666666,6
B5,B2+B3,2,mid_40_70,0.9375000000000009,-0.5562499999999995,54.44375,8
B5,B2+B3+B4,3,high_>=80,6.170833333333334,-6.170833333333334,83.82916666666667,6
B5,B2+B3+B4,3,low_<=30,0.8999999999999991,-0.07499999999999989,19.925,6
B5,B2+B3+B4,3,mid_40_70,2.8843749999999995,-2.684375,52.315625,8
B5,B2+B4,2,high_>=80,5.5125,-3.695833333333333,86.30416666666667,6
B5,B2+B4,2,low_<=30,1.6000000000000003,1.0666666666666664,21.066666666666666,6
B5,B2+B4,2,mid_40_70,3.0781249999999973,2.878124999999998,57.878125,8
B5,B3,1,high_>=80,5.9458333333333355,-5.9458333333333355,84.05416666666666,6
B5,B3,1,low_<=30,2.391666666666667,1.75,21.75,6
B5,B3,1,mid_40_70,1.1937500000000023,-0.8062500000000012,54.193749999999994,8
B5,B3+B4,2,high_>=80,4.445833333333333,-4.445833333333333,85.55416666666667,6
B5,B3+B4,2,low_<=30,1.3291666666666664,0.21249999999999916,20.2125,6
B5,B3+B4,2,mid_40_70,2.2874999999999988,-2.2874999999999988,52.712500000000006,8
B5,B4,1,high_>=80,12.024999999999999,-12.024999999999999,77.97500000000001,6
B5,B4,1,low_<=30,6.145833333333333,6.145833333333333,26.145833333333332,6
B5,B4,1,mid_40_70,4.878124999999999,4.565624999999999,59.565625,8
