model_context,feature,importance_mean,importance_std
source_model,s4_raw_min,2.7755575615628914e-17,4.8074067159589095e-17
source_model,s4_raw_max,1.3877787807814457e-17,3.671717528720129e-17
source_model,s4_phys_baseline_mean,1.3877787807814457e-17,3.671717528720129e-17
source_model,s4_phys_minimum_response,0.0,0.0
source_model,s4_phys_normalized_response,0.0005568793690877288,8.694835314021441e-05
source_model,s4_phys_rs_r0_min,0.0004574667708834995,7.089890565158632e-05
source_model,s4_phys_response_magnitude,1.482945860727114e-05,1.3605418923014723e-05
source_model,s4_phys_recovery_slope,-0.00015738509432949854,0.00011224900354785842
source_model,s4_phys_derivative_min,-1.6223449775490395e-05,1.5634263402834147e-05
source_model,s4_phys_derivative_max,0.0,0.0
source_model,s5_raw_min,0.0003606357623857914,4.4565851151275164e-05
source_model,s5_raw_max,-2.4270482602839483e-07,6.421366116663289e-07
source_model,s5_phys_baseline_mean,-8.622935706026347e-07,2.2814143449864506e-06
source_model,s5_phys_minimum_response,0.0004201793500481221,8.368296492714561e-05
source_model,s5_phys_normalized_response,0.02599060222543846,0.006190818825342515
source_model,s5_phys_rs_r0_min,0.030539448223686247,0.007508071140440352
source_model,s5_phys_response_magnitude,-6.756909705518677e-05,0.00010542599575342661
source_model,s5_phys_recovery_slope,0.0008010638812062792,0.00045932820441815694
source_model,s5_phys_derivative_min,0.0003186197023141851,0.0001126950124944661
source_model,s5_phys_derivative_max,8.129706723319918e-05,6.540309792185472e-05
source_model,s6_raw_min,0.0014735202400994601,0.0004352541110913833
source_model,s6_raw_max,1.5137485970956321e-06,4.005002335345991e-06
source_model,s6_phys_baseline_mean,1.3877787807814457e-17,3.671717528720129e-17
source_model,s6_phys_minimum_response,0.0009710231732002889,0.0003031432242573687
source_model,s6_phys_normalized_response,0.003046473571361785,0.0007089227204066562
source_model,s6_phys_rs_r0_min,0.0022700539348512044,0.0005428252813981499
source_model,s6_phys_response_magnitude,6.724767516480545e-06,4.2901158732668294e-05
source_model,s6_phys_recovery_slope,-7.212987681039229e-05,5.753895723095773e-05
source_model,s6_phys_derivative_min,2.503787878832542e-06,2.0969099752003094e-05
source_model,s6_phys_derivative_max,5.109677462460105e-05,7.444809163617187e-05
source_model,s7_raw_min,0.0006905469977553785,0.00016596358470562328
source_model,s7_raw_max,0.0,0.0
source_model,s7_phys_baseline_mean,0.0,0.0
source_model,s7_phys_minimum_response,8.641361699007755e-05,0.00012952830976023096
source_model,s7_phys_normalized_response,0.007716891953262819,0.0017214872245596728
source_model,s7_phys_rs_r0_min,0.011943661964553001,0.0022371973757400504
source_model,s7_phys_response_magnitude,9.59845812627258e-06,1.810888766951391e-05
source_model,s7_phys_recovery_slope,0.0002224043249960117,4.2626971825017854e-05
source_model,s7_phys_derivative_min,1.3877787807814457e-17,3.671717528720129e-17
source_model,s7_phys_derivative_max,0.0,0.0
source_model,s8_raw_min,5.739853562078401e-05,3.201441584325593e-05
source_model,s8_raw_max,1.3877787807814457e-17,3.671717528720129e-17
source_model,s8_phys_baseline_mean,0.0,0.0
source_model,s8_phys_minimum_response,0.00011771546316341475,3.1228783545262486e-05
source_model,s8_phys_normalized_response,0.00033542155015771347,0.00012702824820425384
source_model,s8_phys_rs_r0_min,0.00048544558181021213,0.00011956196663334053
source_model,s8_phys_response_magnitude,0.0018325184149698276,0.0007155491509881496
source_model,s8_phys_recovery_slope,-9.557861652230437e-05,0.00011833373860591304
source_model,s8_phys_derivative_min,0.0,0.0
source_model,s8_phys_derivative_max,-1.5439534231165286e-05,5.686248541286513e-05
source_high_subset,duration_s,-2.7755575615628914e-17,4.8074067159589095e-17
source_high_subset,s1_raw_min,0.03508614273936825,0.00932414372261678
source_high_subset,s1_raw_max,0.0006712666721781224,0.000225710531971107
